prediction,original_song_id,user_id,song_id,title,artist_name,popularity_prediction,song_rank
85,SODXHYV12A8C13AE0A,78d77cba6776c72ca78a52aa66f2526eabd86ea7,SODXHYV12A8C13AE0A,Nur Ein Wort (Berlin-Town) (P.R. Kantate & Meine Band Version),Wir Sind Helden,0.3725300393660796,2
85,SODXHYV12A8C13AE0A,42b31eaf0cbaa10e593438e2858ce74cdfa01191,SOMKYIZ12A8C141413,Nothing's Lost,Patrick Park,0.5734431930798345,1
78,SOYYJMW12A6D4F8636,6a145b64e3f73ea3018ed88c790c0804c2176ccd,SOYYJMW12A6D4F8636,Hands Open,Snow Patrol,0.8374948160050059,5
78,SOYYJMW12A6D4F8636,6c966bdfc8ef4699fe1814e18573419b725d94e6,SOBTRCD12A6701E976,Where Did You Sleep Last Night,Nirvana,0.8762736368731534,4
78,SOYYJMW12A6D4F8636,ffad6a9352f87dbe61482e8a7dbb1bf8cf37c8be,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
78,SOYYJMW12A6D4F8636,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
78,SOYYJMW12A6D4F8636,7d068212c72cc9bc67ebfcabb93c5ace75b78bee,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
78,SOBTRCD12A6701E976,6a145b64e3f73ea3018ed88c790c0804c2176ccd,SOYYJMW12A6D4F8636,Hands Open,Snow Patrol,0.8374948160050059,5
78,SOBTRCD12A6701E976,6c966bdfc8ef4699fe1814e18573419b725d94e6,SOBTRCD12A6701E976,Where Did You Sleep Last Night,Nirvana,0.8762736368731534,4
78,SOBTRCD12A6701E976,ffad6a9352f87dbe61482e8a7dbb1bf8cf37c8be,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
78,SOBTRCD12A6701E976,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
78,SOBTRCD12A6701E976,7d068212c72cc9bc67ebfcabb93c5ace75b78bee,SOXWYZP12AF72A42A6,Cosmic Love,Florence + The Machine,0.9161084532792769,1
34,SOJTIXE12AB018C99E,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOJTIXE12AB018C99E,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOXWHOW12A8C13D3F6,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOADJQJ12A8C141D38,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
34,SOEYNNC12AF72A2E89,6c966bdfc8ef4699fe1814e18573419b725d94e6,SONIQRE12AF72A2B02,Bring Me To Life,Evanescence,1.0,1
93,SOTWMJF12AB0182238,9ae2abce15efa19998984882900850b927ebf7e1,SORAGYH12AAA15FD76,La Bamba,Los Lobos,0.4294712793676249,4
93,SOTWMJF12AB0182238,ca9fb6d60f3261f783936a7ff48df2df176d5b3a,SOHTEDD12A6D4F8215,Los Salieris De Charly,León Gieco,0.45404276609111616,3
93,SOTWMJF12AB0182238,78d77cba6776c72ca78a52aa66f2526eabd86ea7,SOTWMJF12AB0182238,La Soledad,Bersuit Vergarabat,0.5324827075077003,2
93,SOTWMJF12AB0182238,ca9fb6d60f3261f783936a7ff48df2df176d5b3a,SOHPOXA12A81C21FBE,Rojo Eterno,Lucybell,0.5834045579987284,1
47,SOFFYAG12AC3DF6B5C,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,SOTKMXA12A6D4F672F,LDN,Lily Allen,0.7533057054108968,3
47,SOFFYAG12AC3DF6B5C,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,SOTKMXA12A6D4F672F,LDN,Lily Allen,0.7533057054108968,3
