song_id,title,prediction,user_id,play_count,genre,avg_play_count
SOAGIAY12AB0183D8F,Run Me Down,0.7473401652954215,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,5,Vocal,210.0
SOAGIAY12AB0183D8F,Run Me Down,0.7473401652954215,78d77cba6776c72ca78a52aa66f2526eabd86ea7,9,Stage ,141.0
SOFRBUK12A67AD80D7,Precious,0.7493403173877817,ca9fb6d60f3261f783936a7ff48df2df176d5b3a,1,Comedy Spoken,219.0
SOIYNKK12A6D4F7A54,Esse Coracao (Este Corazón),0.7966929516579855,f0eb3676a2b775f67f3e6ddc3ad43006f50d4aca,1,New Age,675.0
SOPXKYD12A6D4FA876,Yellow,0.9203585279112777,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,1,Country,1179.3333333333333
SOTLURY12AB0183C93,Mr Wendal (Edit),0.0,42b31eaf0cbaa10e593438e2858ce74cdfa01191,4,Jazz,242.0
SONIIYT12A58A7E0AF,St. Elsewhere,0.582918458497712,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,10,Vocal,210.0
SOFPPOM12A6D4FC5C4,Wedding Nails (album version),0.8884667267536912,ffad6a9352f87dbe61482e8a7dbb1bf8cf37c8be,1,Religious,349.0
SOTTTEQ12B0B80CA01,Blood,0.6297622253437221,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,1,Vocal,210.0
SODQUUI12AB017D8C8,This Could Be Beautiful [it is],0.6636488481197462,42b31eaf0cbaa10e593438e2858ce74cdfa01191,10,Jazz,242.0
SOTVFIU12AC46878B7,Exit Music (For A Film),0.89383122996871,780913e6a5d61405f4653aef0231876e6721120b,1,Electronic,1369.0
SOSHZYN12A6D4F5925,The Unforgiven II,0.8100761574113039,6c966bdfc8ef4699fe1814e18573419b725d94e6,28,Easy Listening,97.0
SOKKCHJ12B0B806780,Company,0.6156760737779481,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,5,Vocal,210.0
SOKYDWK12A6D4F623F,Poor Little Rich Boy (Remastered Version),0.809206828644591,296e5769223ae111e530d96c8bcf95fd63d8af9b,1,Rap,475.0
SOJATVB12A3F1EA77A,EG GLEÐIST SO HVØRT JÓLAKVØLD,0.529797773355012,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,13,Country,1179.3333333333333
SOXTQKH12A6D4FAC46,Love Letters,0.6282179645794025,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,210,Vocal,210.0
SOUPYBZ12A6D4FBDEE,Luces no bélicas,0.5732544197290941,ca9fb6d60f3261f783936a7ff48df2df176d5b3a,42,Comedy Spoken,219.0
SOJDYEC12A6D4F833A,Where Do You Go To (My Lovely),0.729063340263458,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,3,Vocal,210.0
SODVHHE12A67ADA4F9,Samarkand (Album Version),0.5115695965044714,7d068212c72cc9bc67ebfcabb93c5ace75b78bee,7,Classical,93.0
SOVAGPG12AB0189963,Samba De Una Nota So´,0.52549711888017,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,3,Vocal,210.0
SOBMVXX12A8C13D19E,Prince Caspian,0.6544740345610037,78d77cba6776c72ca78a52aa66f2526eabd86ea7,1,Stage ,141.0
SOJDPNR12A8C13C7AE,Things Ain't Like They Used To Be,0.9164473274723852,78d77cba6776c72ca78a52aa66f2526eabd86ea7,14,Stage ,141.0
SOGFQWV12A8C135DF1,Beginners Falafel,0.7602781132744731,42b31eaf0cbaa10e593438e2858ce74cdfa01191,1,Jazz,242.0
SOFKTPP12A8C1385CA,Hold On,0.6934642475354277,42b31eaf0cbaa10e593438e2858ce74cdfa01191,1,Jazz,242.0
SOBDRND12A8C13FD08,Sun Hands,0.9691899482886863,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,2,Vocal,210.0
SOUFPNI12A8C142D19,Heartbreak Warfare,1.0,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,1,Country,1179.3333333333333
SOHTCVN12A8C134E46,It's My Own Fault,0.5287824809425877,f0eb3676a2b775f67f3e6ddc3ad43006f50d4aca,8,New Age,675.0
SOISTOD12AB018173B,Andacht,0.5086830726739167,78d77cba6776c72ca78a52aa66f2526eabd86ea7,1,Stage ,141.0
SONEUEV12A8C14373B,Driven (Restrospective 3 Version),0.6851547358174563,5a44bfcaa1081e8b36ff76ec32c2ef73425ad2e9,6,Vocal,210.0
